#⃣	Teclas: #|Teclas
*⃣	Teclas: *|Teclas
↼	arpón hacia la izquierda con la punta hacia arriba|arpón|arriba|izquierda|punta
↽	arpón hacia la izquierda con la punta hacia abajo|abajo|arpón|izquierda|punta
↾	arpón hacia arriba con la punta hacia la derecha|arpón hacia arriba con flecha a la derecha|punta
↿	arpón hacia arriba con la punta hacia la izquierda|arpón hacia arriba con flecha a la izquierda|punta
⇀	arpón hacia la derecha con flecha por arriba|punta
⇁	arpón hacia la derecha con flecha por debajo|punta
⇂	arpón hacia abajo con la punta hacia la derecha|abajo|arpón|derecha|punta
⇃	arpón hacia abajo con la punta hacia la izquierda|abajo|arpón|izquierda|punta
⇄	flecha a la derecha sobre flecha a la izquierda
⇅	flecha doble hacia arriba y abajo|abajo|apuntar|arriba|flecha|hacia abajo|hacia arriba
⇆	flecha doble hacia la izquierda y derecha|apuntar|derecha|flecha|hacia la derecha|hacia la izquierda|izquierda
⇇	par de flechas hacia la izquierda
⇈	par de flechas hacia arriba
⇉	par de flechas hacia la derecha
⇊	par de flechas hacia abajo
⇋	arpón a la izquierda sobre arpón a la derecha
⇌	arpón a la derecha sobre arpón a la izquierda
⇍	flecha doble hacia la izquierda tachada|doble|flecha|izquierda|tachada
⇎	flecha doble hacia la izquierda y la derecha tachada|derecha|doble|flecha|izquierda|tachada
⇏	flecha doble hacia la derecha tachada|derecha|doble|flecha|tachada
⇐	flecha doble hacia la izquierda|doble|flecha|izquierda
⇑	flecha doble hacia arriba|arriba|doble|flecha
⇒	flecha doble hacia la derecha|derecha|doble|flecha
⇓	flecha doble hacia abajo|abajo|doble|flecha
⇔	flecha doble hacia la izquierda y la derecha|derecha|doble|flecha|izquierda
⇖	flecha doble hacia el noroeste|doble|flecha|noroeste
⇗	flecha doble hacia el nordeste|doble|flecha|nordeste
⇘	flecha doble hacia sudeste|doble|flecha|sudeste
⇙	flecha doble hacia el sudoeste|doble|flecha|sudoeste
⇚	flecha triple hacia la izquierda|flecha|izquierda|triple
⇛	flecha triple hacia la derecha|derecha|flecha|triple
⇜	flecha ondulada hacia la izquierda|flecha|izquierda|ondulada
⇝	flecha ondulada hacia la derecha|derecha|flecha|ondulada
⇞	flecha hacia arriba con doble tachado|arriba|doble|flecha|tachado
⇟	flecha hacia abajo con doble tachado|abajo|doble|flecha|tachado
⇠	flecha discontinua hacia la izquierda|discontinua|flecha|izquierda
⇡	flecha discontinua hacia arriba|arriba|discontinua|flecha
⇢	flecha discontinua hacia la derecha|derecha|discontinua|flecha
⇣	flecha discontinua hacia abajo|abajo|discontinua|flecha
⇤	flecha hacia la izquierda con barra|barra|flecha|izquierda
⇥	flecha hacia la derecha con barra|barra|derecha|flecha
⇦	flecha hueca hacia la izquierda|flecha|hueca|izquierda
⇧	flecha hueca hacia arriba|arriba|flecha|hueca
⇨	flecha hueca hacia la derecha|derecha|flecha|hueca
⇩	flecha hueca hacia abajo|abajo|flecha|hueca
⇪	flecha hueca hacia arriba desde barra|arriba|barra|flecha|hueca
⇵	flecha hacia abajo a la izquierda de flecha hacia arriba|abajo|arriba|flecha|izquierda
∀	para todo|cualquiera|todo|universal
∂	derivada parcial|diferencial
∃	existe
∅	conjunto vacío|matemáticas
∆	incremento|triángulo
∇	nabla|triángulo
∈	elemento de|conjunto|contiene|elemento|miembro
∉	no es un elemento de
∋	es un elemento de
∎	fin de la prueba|c. q. d.|LQQD|QED
∏	producto n-ario|lógica|producto
∑	sumativa n-aria|matemáticas|sumativa
−	signo menos|menos|resta|restar
∓	menos-más
∕	barra de división|barra|trazo
∗	operador de asterisco|asterisco
∘	operador de anillo|grado|o volada
∙	operador de bolo|bolo
√	raíz cuadrada|base|cuadrada|radical|raíz|sordo
∝	proporcional|proporcionalidad
∞	signo de infinito|infinito
∟	ángulo recto|matemáticas
∠	ángulo agudo|matemáticas
∣	divide|divisor
∥	paralelo
∧	y lógica|circunflejo|cuña
∩	intersección|conjunto
∪	unión|colección|conjunto
∫	integral|cálculo
∬	doble integral|cálculo
∮	integral de contorno
∴	por lo tanto
∵	porque|lógica
∶	ratio
∷	proporción|proporcionalidad
∼	operador de virgulilla|operador|tilde
∽	virgulilla inversa|tilde inversa
∾	s invertida horizontal
≃	asintóticamente igual a|asíntota|matemáticas
≅	aproximadamente igual a|congruencia|igualdad|isomorfismo|matemáticas
≈	casi igual|aproximación|aproximado|casi igual a
≌	todo igual|igualdad|matemáticas
≒	aproximadamente igual o la imagen de|aproximadamente|igual|imagen
≖	anillo en igual a|igualdad|matemáticas
≠	no igual|inecuación|inecualidad|no igual a
≡	equivalente a|equivalente|exacto|idéntico|menú de hamburguesa|triple
≣	estrictamente equivalente|igualdad|matemáticas
≤	menor o igual que|igual|igual a|inecualidad|menor que
≥	mayor o igual que|igual|igual a|inecualidad|mayor que
≦	menor que sobre igual|desigualdad|matemáticas
≧	mayor que sobre igual|desigualdad|matemáticas
≪	mucho menor que|desigualdad|matemáticas
≫	mucho mayor que|desigualdad|matemáticas|mayor que|mucho
≬	entre
≮	no menor que|desigualdad|matemáticas
≯	no mayor que|desigualdad|matemáticas
≳	equivalente mayor que|desigualdad|matemáticas
≺	precede|matemáticas
≻	sucede|matemáticas
⊁	no sucede|matemáticas
⊂	subconjunto de|conjunto|subconjunto
⊃	superconjunto de|matemáticas
⊆	subconjunto igual a|igual|subconjunto
⊇	superconjunto igual a|igual|igualdad|matemáticas|superconjunto
⊕	más dentro de círculo|más
⊖	menos dentro de círculo|diferencia simétrica|erosión
⊗	por dentro de círculo|producto tensorial
⊘	barra de división dentro de círculo|matemáticas
⊙	operador de punto dentro de círculo|operador|XNOR
⊚	operador de anillo dentro de círculo|anillo|círculo|operador
⊛	operador de asterisco dentro de círculo|asterisco|operador
⊞	más dentro de cuadrado|matemáticas
⊟	menos dentro de cuadrado|matemáticas
⊥	tachuela hacia arriba|contradicción|falsum
⊮	no fuerza|fuerza|no
⊰	precede en relación|precede
⊱	sucede en relación|matemáticas
⊶	original
⊹	matriz conjugada hermitiana|matemáticas|matriz autoadjunta|matriz cuadrada|matriz hermítica
⊿	triángulo rectángulo|matemáticas
⋁	o lógico n-ario
⋂	intersección n-aria|intersección|matemáticas
⋃	unión n-aria|matemáticas|unión
⋅	operador de punto|operador
⋆	operador de estrella|operador
⋈	unión natural|operador binario|pajarita
⋒	doble intersección|intersección|matemáticas
⋘	mucho mucho menor que|desigualdad|matemáticas
⋙	mucho mucho mayor que|desigualdad|matemáticas
⋭	no contiene como subgrupo normal o igual a|matemáticas|teoría de grupos
⋮	elipsis vertical|elipsis|matemáticas|operador
⋯	elipsis horizontal de línea media|elipsis|matemáticas
⋰	elipsis en diagonal hacia la derecha|elipsis|matemáticas
⋱	elipsis en diagonal hacia la izquierda|elipsis|matemáticas
⌚	reloj|tiempo
⌛	reloj de arena sin tiempo|arena|reloj|reloj de arena|temporizador|tiempo
⌨	teclado|accesorio|computadora|ordenador|pc
⏏	expulsar|botón|música
⏩	avance rápido|adelantar|avance|botón|flecha|música|rápido
⏪	retroceso rápido|atrás|botón|flecha|flecha doble a la izquierda|izquierda|música|rápido|rebobinado|retroceso
⏫	triángulo doble hacia arriba|arriba|flecha|flecha doble hacia arriba
⏬	triángulo doble hacia abajo|abajo|bajar|botón|doble|flecha|flecha doble hacia abajo
⏭	avanzar a la pista siguiente|adelantar|avanzar|botón|derecha|música|pista siguiente|siguiente|triángulo
⏮	última pista|anterior|botón|música|pista anterior|triángulo
⏯	pausar o reproducir|botón|música|pausa|reproducir|reproducir o pausa|triángulo|video
⏰	reloj despertador|alarma|despertador|esperar|reloj|reloj de alarma|tiempo
⏱	cronómetro|esperando|esperar|reloj|segundos|tiempo
⏲	temporizador|reloj|segundos|tiempo
⏳	reloj de arena con tiempo|arena|espera|inicio reloj de arena|reloj|reloj con arena cayendo|temporizador|tiempo
⏸	pausa|barras|botón|música|pausar|verticales
⏹	detener|botón|cuadrado|música|parar|stop
⏺	grabar|botón|círculo|música|punto
Ⓜ	letra m en un círculo|círculo|letra|m|M|m en círculo|metro
■	cuadrado relleno|cuadrado|relleno
□	cuadrado hueco|cuadrado|hueco
▢	cuadrado hueco con esquinas redondeadas|cuadrado|esquinas|hueco|redondeadas
▣	cuadrado hueco con cuadrado relleno dentro|cuadrado|dentro|hueco|relleno
▤	cuadrado con relleno de rayas horizontales|cuadrado|horizontales|rayas|relleno
▥	cuadrado con relleno de rayas verticales|cuadrado|rayas|relleno|verticales
▦	cuadrado con relleno de cuadrícula ortogonal|cuadrado|cuadrícula|ortogonal|relleno
▧	cuadrado con relleno de rayas desde arriba a la izquierda hasta abajo a la derecha|abajo|arriba|cuadrado|derecha|izquierda|rayas|relleno
▨	cuadrado con relleno de rayas desde arriba a la derecha hasta abajo a la izquierda|abajo|arriba|cuadrado|derecha|izquierda|rayas|relleno
▩	cuadrado con relleno de cuadrícula en diagonal|cuadrado|cuadrícula|diagonal|relleno
▪	cuadrado negro pequeño|cuadrado|negro
▫	cuadrado blanco pequeño|blanco|cuadrado
▬	rectángulo relleno|rectángulo|relleno
▭	rectángulo hueco|hueco|rectángulo
▮	rectángulo vertical relleno|rectángulo|relleno|vertical
▰	paralelogramo relleno|paralelogramo|relleno
▲	triángulo relleno apuntando hacia arriba|arriba|flecha|hacia arriba|relleno|triángulo
△	triángulo hueco que apunta hacia arriba|apunta|arriba|hueco|triángulo
▴	triángulo pequeño relleno que apunta hacia arriba|apunta|arriba|pequeño|relleno|triángulo
▵	triángulo pequeño hueco que apunta hacia arriba|apunta|arriba|hueco|pequeño|triángulo
▶	reproducir|adelante|derecha|flecha
▷	triángulo hueco que apunta hacia la derecha|apunta|derecha|hueco|triángulo
▸	triángulo pequeño relleno que apunta hacia la derecha|apunta|derecha|pequeño|relleno|triángulo
▹	triángulo pequeño hueco que apunta hacia la derecha|apunta|derecha|hueco|pequeño|triángulo
►	puntero relleno que apunta hacia la derecha|apunta|derecha|puntero|relleno
▻	puntero hueco que apunta hacia la derecha|apunta|derecha|hueco|puntero
▼	triángulo relleno apuntando hacia abajo|abajo|flecha|hacia abajo|relleno|triángulo
▽	triángulo hueco que apunta hacia abajo|abajo|apunta|hueco|triángulo
▾	triángulo relleno pequeño que apunta hacia abajo|abajo|apunta|pequeño|relleno|triángulo
▿	triángulo hueco pequeño que apunta hacia abajo|abajo|apunta|hueco|pequeño|triángulo
◀	retroceder|botón|música|retroceso|triángulo
◁	triángulo hueco que apunta hacia la izquierda|apunta|hueco|izquierda|triángulo
◂	triángulo relleno pequeño que apunta hacia la izquierda|apunta|izquierda|pequeño|relleno|triángulo
◃	triángulo hueco pequeño que apunta hacia la izquierda|apunta|hueco|izquierda|pequeño|triángulo
◄	puntero relleno que apunta hacia la izquierda|apunta|izquierda|puntero|relleno
◅	puntero hueco que apunta hacia la izquierda|apunta|hueco|izquierda|puntero
◆	rombo relleno|relleno|rombo
◇	rombo hueco|hueco|rombo
◈	rombo hueco con rombo relleno dentro|dentro|hueco|relleno|rombo
◉	círculo hueco con círculo relleno dentro|círculo punteado|círculo vacío con círculo relleno dentro|círculos concéntricos rellenos|división|ojo de pez
◊	rombo|diamante
○	círculo vacío|anillo|círculo
◌	círculo punteado|círculo|punteado
◍	círculo con relleno vertical|círculo|relleno|vertical
◎	círculos concéntricos|círculo|círculos|concéntricos|diana|doble
●	círculo relleno|círculo
◐	círculo con la mitad izquierda rellena|círculo|izquierda|mitad|rellena
◑	círculo con la mitad derecha rellena|círculo|derecha|mitad|rellena
◒	círculo con la mitad inferior rellena|círculo|inferior|mitad|rellena
◓	círculo con la mitad superior rellena|círculo|mitad|rellena|superior
◔	círculo con el cuadrante superior derecho relleno|círculo|cuadrante|derecho|relleno|superior
◕	círculo relleno excepto el cuadrante superior izquierdo|círculo|cuadrante|excepto|izquierdo|relleno|superior
◖	semicírculo izquierdo relleno|izquierdo|relleno|semicírculo
◗	semicírculo derecho relleno|derecho|relleno|semicírculo
◘	viñeta invertida
◙	cuadrado relleno con círculo vacío dentro|círculo vacío invertido
◜	arco de cuadrante superior izquierdo
◝	arco de cuadrante superior derecho
◞	arco de cuadrante inferior derecho
◟	arco de cuadrante inferior izquierdo
◠	semicírculo superior|semicírculo|superior
◡	semicírculo inferior|inferior|semicírculo
◢	triángulo inferior derecho relleno|derecho|inferior|relleno|triángulo
◣	triángulo inferior izquierdo relleno|inferior|izquierdo|relleno|triángulo
◤	triángulo superior izquierdo relleno|izquierdo|relleno|superior|triángulo
◥	triángulo superior derecho relleno|derecho|relleno|superior|triángulo
◦	bolo hueco|bolo|hueco
◯	círculo vacío grande|anillo|círculo
◳	cuadrante superior derecho en cuadrado hueco|cuadrado|cuadrante|derecho|hueco|superior
◷	cuadrante superior derecho en círculo hueco|círculo|cuadrante|derecho|hueco|superior
◻	cuadrado blanco mediano|blanco|cuadrado|vacío
◼	cuadrado negro mediano|cuadrado|mediano|negro
◽	cuadrado blanco mediano-pequeño|blanco|cuadrado|geometría|mediano|pequeño
◾	cuadrado negro mediano-pequeño|cuadrado|geometría|mediano|negro|pequeño
◿	triángulo inferior derecho|derecho|inferior|triángulo
☀	sol|calor|encendido|espacio|estrella|luz|rayos|soleado
☁	nube|clima|nublado|tiempo
☂	paraguas abierto|accesorio|clima|lluvia|paraguas|tiempo
☃	muñeco de nieve nevado|clima|frío|hombre de nieve|invierno|muñeco|muñeco de nieve|nieve
☄	meteorito|cometa|espacio|estela|estrella|rojo
☎	teléfono de línea|agenda|cables|línea|llamar|teléfono
☑	casilla seleccionada|✓|aprobar|casilla|casilla con marca de verificación|check|listo|marca|selección|verificación|verificación en un recuadro
☔	paraguas con gotas|accesorio|clima|gotas|llover|lluvia|paraguas|paraguas con gotas lluvia|sombrilla|tiempo
☕	bebida caliente|bebida|café|caliente|taza|té
☘	trébol|4|cuatro|irlanda|planta|suerte
☝	dedo índice hacia arriba|arriba|dedo|índice|índice apuntando hacia arriba|índice hacia arriba palma|mano|palma de mano
☠	calavera|cara|huesos|mal|muerte
☢	radiactivo|radioactividad|radioactivo|zona de radiación
☣	peligro biológico|biológico|peligro|riesgo biológico|señal|señal de peligro
☦	cruz ortodoxa|cristianismo|cruz|iglesia ortodoxa|ortodoxa|religión
☪	estrella y creciente|estrella|islam|luna|luna creciente y estrella|media luna y estrella|religión
☮	símbolo de la paz|amor|paz|paz y amor
☯	yin yang|religión|taoísmo|yang|yin
☸	dharma|budismo|religión|rueda|rueda del dharma
☹	cara con el ceño fruncido|cara|cara muy triste|ceño fruncido|triste
☺	cara sonriente|cara|cara feliz|emoticono|relajado|sonriente|sonrisa|sonrisa tímida
♀	signo femenino|mujer|signo|símbolo
♂	signo masculino|hombre|signo|símbolo
♈	Aries|carnero|horóscopo|zodíaco
♉	Tauro|buey|horóscopo|toro|zodíaco
♊	Géminis|horóscopo|mellizos|zodíaco
♋	Cáncer|cangrejo|horóscopo|zodíaco
♌	Leo|horóscopo|león|zodíaco
♍	Virgo|horóscopo|virgen|zodíaco
♎	Libra|balanza|horóscopo|justicia|zodíaco
♏	Escorpio|escorpión|horóscopo|zodíaco
♐	Sagitario|arquero|horóscopo|zodíaco
♑	Capricornio|cabra|horóscopo|zodíaco
♒	Acuario|agua|horóscopo|zodíaco
♓	Piscis|horóscopo|pez|zodíaco
♟	peón de ajedrez|ajedrez|peón
♠	picas|carta|cartas|juego|juegos|naipes|palo|palo de pica|palos|pica
♣	tréboles|carta|cartas|casino|juego|juegos|naipes|palo|palo de trébol|palos|trébol
♥	corazones|carta|cartas|corazón|juego|juegos|naipes|palo|palo de corazón|palos
♦	diamantes|carta|cartas|diamante|juego|juegos|naipes|palos
♨	aguas termales|aguas|caliente|fuentes termales|termales|termas|vapor
♪	corchea|música|nota
♭	bemol|música|nota
♯	sostenido|diesis|música|nota
♻	símbolo de reciclaje|reciclaje|reciclar|señal|símbolo universal de reciclaje sólido|universal
♾	infinito|ilimitado|siempre|universal
♿	acceso para silla de ruedas|acceso|acceso para sillas de ruedas|minusválidos|señal|silla de ruedas|símbolo de silla de ruedas
⚒	martillo y pico|herramienta|herramientas|martillo|pico
⚓	ancla|barco|bote|capitán|gancho|mar|marinero|navegación|puerto marítimo
⚔	espadas cruzadas|arma|armas|cruzadas|espadas
⚕	símbolo de medicina|esculapio|farmacia|medicina|médicos|símbolo|símbolo de la medicina
⚖	balanza|justicia|libra|peso|zodiaco
⚗	alambique|destilar|herramienta|química
⚙	engranaje|ajustes|configuración|herramienta|rodamiento|rodillo
⚛	símbolo de átomo|ateo|átomo|símbolo|símbolo atómico
⚜	flor de lis|flor|lis
⚠	advertencia|cuidado|señal
⚡	alto voltaje|alto|electricidad|peligro|peligro de alto voltaje|rayo|señal|señal de alto voltaje|tensión|trueno|voltaje
⚧	símbolo de transgénero|transgénero
⚪	círculo blanco|blanco|punto blanco
⚫	círculo negro|negro|punto
⚰	ataúd|muerte|vampiro
⚱	urna funeraria|cenizas|funeral|funeraria|muerte|urna
⚽	pelota de fútbol|balón|balón de fútbol|fútbol|pelota
⚾	pelota de béisbol|balón|baseball|béisbol|pelota
⛄	muñeco de nieve|clima|frío|hombre de nieve|invierno|muñeco|nieve
⛅	parcialmente nublado|clima|nube|nubes|nublado|sol|sol con nubes|sol tras nubes|soleado|tiempo
⛈	tormenta|clima|lluvia|nube|nube con rayo y lluvia|rayo|tiempo|trueno
⛎	Ofiuco|serpiente|zodíaco
⛏	pico|herramienta|mina|mineria|minería
⛑	casco con cruz blanca|ayuda|casco|casco con cruz|casco de rescatista|cruz|sombrero
⛓	cadenas|cadena
⛓‍💥	cadena rota|esposas|libertad|romper|rotura
⛔	prohibido entrar|dirección prohibida|entrar|no|pasar|prohibida la entrada|prohibido|señal|señal de prohibido
⛩	santuario sintoísta|edificio|japón|Japón|jinja|religión|santuario|santuario japonés|shinto
⛪	iglesia|bendecido|capilla|cristianismo|cruz|edificio|religión
⛰	montañas|montaña|monte|naturaleza
⛱	sombrilla en la arena|arena|playa|sol|sombrilla|verano
⛲	fuente|agua
⛳	banderín en hoyo|agujero|banderín de golf|banderín en agujero|deporte|golf|juego
⛴	transbordador|barco|bote|capitán|crucero|ferri|ferry|mar|marinero
⛵	velero|barco|barco de vela|bote|capitan|centro turístico|mar|marinero
⛷	persona esquiando|deporte|esquí|nieve|ski
⛸	patinaje sobre hielo|deporte|hielo|patín|patín de hielo|patinaje
⛹	persona con una pelota|baloncesto|basketball|básquet|basquetbolista|botar|deporte|jugador|persona jugando baloncesto|persona jugando básquet
⛹‍♀	mujer botando un balón|baloncesto|basketball|básquet|basquetbolista|botar|deporte|jugador|mujer con una pelota|mujer jugando baloncesto|mujer jugando básquet
⛹‍♂	hombre botando un balón|baloncesto|basketball|básquet|basquetbolista|botar|deporte|hombre con una pelota|hombre jugando baloncesto|hombre jugando básquet|jugador
⛺	carpa|acampar|campamento|camping|tienda de campaña|vacaciones
⛽	estación de gasolina|bomba de gasolina|combustible|dispensador|estación|gasolina|gasolinera|nafta|repostar|servicio|surtidor
✂	tijeras|cortar|herramienta|peluqueria|recortar
✅	botón de marca de verificación|✓|botón|marca|selección|verificación
✈	avión|aeropuerto|aire|jet|vehículo|viajar|viaje|volar
✉	sobre|carta|correo
✊	puño levantado|levantar el puño|mano|mano cerrada|piedra|puñetazo|puño|puño cerrado|puño en alto
✋	mano levantada|alto|cinco dedos|levantar la mano|mano|mano abierta|mano en alto|palma|palma de mano|papel|stop
✌	gesto de victoria|amor y paz|dedos|mano con señal de victoria|paz|tijera|v|V|victoria
✍	mano escribiendo|escribir|escribir a mano|lápiz|mano|mano con lápiz|nota|trabajo
✏	lápiz|escolar|escribir|lapicero|útil
✒	lapicera de pluma|bolígrafo|escribir|lapicera|nota|pluma|pluma negra|tinta
✔	marca de verificación grande|✓|check|listo|marca|marca de verificación|marca de verificación negra|selección|verficación|verificación|verificar
✖	multiplicación|mutliplicación|x|X de multiplicación
✝	cruz latina|cristianismo|cristiano|cruz|iglesia|religión
✡	estrella de David|david|estrella|estrella de david|judaísmo|religión
✨	chispas|bengala|brillar|brillo|estrella|estrellas|estrellas centelleantes|magia
✳	asterisco de ocho puntas|*|asterisco
✴	estrella de ocho puntas|*|estrella
❄	copo de nieve|clima|frío|nieve|tiempo
❇	chispa|*
❌	cruz|×|cancelar|marca de cruz|marca de tachado|tachar|x
❎	cruz con recuadro|×|botón con marca de cruz|casilla|cruz|equis|marca|marca de tachar|verde|x|X|X en un recuadro
❓	signo de interrogación|?|interrogación|interrogación roja|pregunta|puntuación
❔	signo de interrogación gris|?|interrogación|interrogación blanca|pregunta|puntuación
❕	signo de exclamación gris|!|exclamación|exclamación blanca|puntuación|signo|sorpresa
❗	signo de exclamación|!|exclamación|exclamación roja|puntuación
❣	exclamación con forma de corazón|corazón|exclamación|puntuación
❤	corazón rojo|amor|azul|corazón|emoción|pica
❤‍🔥	corazón en llamas|amor|corazón|fuego|llamas|lujuria|pasión
❤‍🩹	corazón vendado|bien|curarse|mejor|mejorar|recuperación|salud
➕	suma|más|positivo|signo
➖	resta|menos|negativo|raya|signo
➗	división|dividir|matemáticas|signo|signo de división
➡	flecha hacia la derecha|adelante|este|flecha derecha|flecha hacia derecha
➰	bucle|giro
➿	bucle doble|bucle|Japón|llamada gratuita
⤴	flecha derecha curvándose hacia arriba|arriba|curva|dirección|flecha
⤵	flecha derecha curvándose hacia abajo|abajo|curva|dirección|flecha
⨧	más subíndice dos|dos|más|subíndice
⨯	producto vectorial|producto cruz
⨼	producto interior|interior|producto
⩣	o lógico sobre doble barra|Disyunción
⩽	menor o igual que con barra inclinada
⪍	menor que sobre igual o similar|igual|menor que|similar|sobre
⪚	doble línea sobre mayor que|desigualdad|matemáticas
⪺	sucede sobre no igual
⬅	flecha hacia la izquierda|flecha|flecha hacia izquierda|izquierda|oeste
⬆	flecha hacia arriba|arriba|flecha arriba|norte|positivo
